video_id,age,category,views,rate
TMyf67qFSLE,672.0,Music,951.0,4.0
tsgtHf9Bewo,468.0,Music,52744.0,4.9
F8bMG1Btqk4,745.0,Comedy,4.0,0.0
7W9pQx2qmNI,681.0,Comedy,426.0,5.0
3EGl0S8Xp2Q,586.0,Comedy,154.0,1.0
H_KHi9J-7fc,707.0,Comedy,162.0,0.0
FZu4NJsvItU,592.0,Music,1052.0,4.47
G8Ionw-kK1g,639.0,Music,376.0,3.67
nWW7pm7W7mE,490.0,Music,6764.0,4.74
zu9_uJRVLLw,742.0,Music,829.0,4.81
gPWrQThXHNQ,406.0,Music,46669.0,4.87
VKdC--O3hnk,424.0,Music,84309.0,4.55
8HbwO00oEFs,450.0,Music,20470.0,4.69
Hp35eznisC8,549.0,Music,42777.0,4.92
fnl679pGyB0,569.0,Music,6005.0,4.44
YLYtXOaBwWU,541.0,Music,651.0,5.0
YlGC0MKewnc,497.0,Music,699.0,5.0
-F8uKqjaF2M,466.0,Music,1737.0,5.0
LsYgcHhW4Hs,589.0,Music,402.0,5.0
qqzp9aZkKQc,655.0,Music,301.0,3.0
xvlh30_OjBI,692.0,Music,318.0,0.0
AVh9GZoSayE,598.0,Music,52.0,0.0
eFLIpUWqq2U,605.0,Music,4177.0,5.0
eZPO-SG11zY,691.0,Music,517.0,5.0
qlTkLws4nBc,706.0,Music,200.0,5.0
8NferpHd1UU,620.0,Music,8445.0,3.94
3S3VyRO37L4,623.0,Music,4879.0,4.85
2d2b97habMs,618.0,Music,5544.0,4.92
5qfLAP7vSLw,613.0,Music,3066.0,4.5
N7Ivpp5cP6I,615.0,Music,3504.0,4.78
x4PfAhuTiUk,622.0,Music,2682.0,4.86
6f90Z3wV7ZQ,745.0,Music,12.0,0.0
lQiEqOtaD58,606.0,Music,5199.0,4.22
w0_GqXqP7js,607.0,Music,10602.0,4.73
GxKcWPZHbMw,605.0,Music,2565.0,3.38
643jLdgz0bc,465.0,Music,503.0,5.0
QGOJmTMhFSA,399.0,Music,1375.0,3.0
pBP2zJzL9-Q,363.0,Music,1174.0,4.5
3u4ST8jiF40,644.0,Music,27.0,0.0
cuSXdBbCWf4,448.0,Music,2225.0,2.08
hKmalQbjHXU,496.0,Comedy,1986.0,1.57
eUq5TS_qB-A,444.0,Comedy,446.0,4.43
8XaorkQO1Ys,702.0,Comedy,214.0,3.0
-BUH_MCjO9A,701.0,Music,53.0,0.0
9n4L5pDqBxY,519.0,Comedy,210.0,1.0
j2j6BtfJ30w,723.0,Comedy,70.0,5.0
CwuySrUuTSw,528.0,Comedy,417.0,0.0
vFmyL_Emks0,666.0,Comedy,110.0,0.0
xnOsbGKujyU,360.0,Comedy,123.0,0.0
xtj-6g4Lqno,653.0,Comedy,704.0,2.0
BRx8FKNrss0,655.0,Music,545.0,0.0
y8zaTwj9ONs,585.0,Music,976.0,5.0
ikcfXUegkGU,623.0,Music,890.0,3.33
LN_uME6qdKc,636.0,Music,432.0,5.0
PwszLuS9mHk,552.0,Music,535.0,3.67
qyajCx4YuSY,710.0,Music,66.0,0.0
PNv4H57nYQI,623.0,Music,854.0,5.0
P6huP9AsAbk,581.0,Music,766.0,4.0
uveaurh3mZs,552.0,Music,4944.0,2.29
DssaSouvHII,529.0,Music,1142.0,1.0
UcOERh2Dkhk,548.0,Music,524.0,0.0
JmCaeiyvki0,495.0,Music,150.0,0.0
4-6t1wTrhRk,725.0,Music,7.0,0.0
PRa-dQkLcQI,725.0,Music,6.0,0.0
7Mo62QXnhho,537.0,Music,550.0,5.0
AXuRi6_uG0g,502.0,Music,42.0,5.0
OCOtR81Hv2c,607.0,Music,278.0,5.0
9ck0G3KTI3I,601.0,Music,118.0,0.0
Uhbx8Wcbix4,711.0,Music,38.0,0.0
bDd6G5omghQ,458.0,Music,438.0,0.0
T_pPxoMjumA,334.0,Music,1028.0,4.8
aKfaaVUgpNE,726.0,Comedy,128.0,0.0
DdswlgLkoqo,505.0,Comedy,78339.0,4.52
_nCkaGx_3FU,662.0,Comedy,3480.0,3.38
KVX6Vqbz2SU,712.0,Comedy,291.0,3.0
XE8BxLBgNRw,640.0,Comedy,1336.0,3.0
-lhXWzedZ_c,638.0,Comedy,187.0,0.0
T7OjgT-iAwo,668.0,Comedy,14490.0,4.85
RiQWBUcPyOc,705.0,Comedy,5029.0,4.54
wYbomoAHV4Y,629.0,Comedy,20366.0,4.74
EHECG5jya-s,484.0,Comedy,1254.0,4.86
mj1CUI9Vrsw,627.0,Comedy,4499.0,4.75
ZpBgorkZSx4,639.0,Music,292.0,0.0
Bs7ZyHdIFWc,598.0,Music,356.0,5.0
wDpRuG6IhnE,674.0,Music,19390.0,4.71
z5AUjRbpaSA,674.0,Music,12667.0,4.75
GmrNwsYEgsM,537.0,Music,6891.0,4.72
5zTlZcCB9u8,668.0,Music,1305.0,3.8
TJuHkoayixg,708.0,Comedy,696.0,4.91
jO1Dvm2Z8t0,472.0,Music,6078.0,4.4
MEWI_E2gbb0,565.0,Music,10080.0,4.8
fdGr3-Wh5_w,540.0,Music,794.0,3.67
lyt57dZGZS8,724.0,Music,118.0,5.0
KaAt3ZqJo7Q,640.0,Music,105.0,4.0
emK4bZT6aVc,510.0,Comedy,322.0,3.67
_4O14XCrsmw,736.0,Comedy,10.0,0.0
4oxuvSf8A1g,671.0,Comedy,29.0,0.0
R5KrnVMUoRg,478.0,Comedy,97142.0,4.7
v-MC7W1c5t4,441.0,Music,39295.0,3.79
bzXzSYJKcDE,607.0,Music,9777.0,2.68
BtiTMMHvv9g,644.0,Music,2002.0,3.8
eQNO9A2DpTE,699.0,Comedy,79.0,0.0
So43hSd8NYA,561.0,Comedy,28.0,0.0
NzvGKDflDdI,737.0,Comedy,6.0,0.0
XE9yR1jRH_4,450.0,Music,35863.0,3.93
zxeZrrEpVBs,407.0,Comedy,18828.0,4.22
nALJqC4WLTU,395.0,Music,31760.0,4.0
ARi6FydOpOM,394.0,Comedy,9853.0,4.44
JF0jTkkIGS4,658.0,Comedy,19305.0,4.81
cfXHY1YlaUw,355.0,Music,4081.0,4.83
YHaKplonD3c,494.0,Music,12294.0,4.46
JSV0VHL2KwY,734.0,Music,920.0,5.0
Z9PLRT9efXk,594.0,Comedy,58.0,0.0
gX_pZzDw17Q,496.0,Comedy,24690.0,4.84
yvzbrjCXyyw,441.0,Music,66071.0,4.75
AgvefPgXlgg,402.0,Music,6699.0,4.67
P4lHVBnTkiA,562.0,Music,10554.0,4.85
lWR1yXqWKlo,515.0,Comedy,4457.0,3.17
rE0_MyN2DpU,598.0,Music,11679.0,5.0
9AMH6mTckA0,409.0,Music,2156.0,4.91
JGT5oUUUCzE,659.0,Comedy,3640.0,4.55
X_uQuh-06kc,590.0,Comedy,26347.0,4.95
MboIcKQ9pLE,726.0,Comedy,2785.0,4.5
ghNdBdk8wso,726.0,Comedy,886.0,5.0
zPSQEMpv99M,597.0,Music,3953.0,4.5
S1gmIKkkhHs,608.0,Music,2804.0,5.0
dC2IaTKKPRQ,706.0,Music,105.0,0.0
8KAo_bofTWU,378.0,Comedy,56.0,0.0
iEjCN8xyCq4,672.0,Music,1476.0,4.33
YKQI77XVMRY,585.0,Music,9128.0,5.0
8kyXhIGiddg,672.0,Music,610.0,4.5
enHWcmUZk90,675.0,Music,4050.0,5.0
6KO18DOLWzE,585.0,Music,66460.0,3.14
NwlpxUDszeM,729.0,Music,148.0,0.0
E_1b8xhez54,729.0,Music,121.0,0.0
FIKK09DFLWE,644.0,Music,1754.0,5.0
izPrY2RWW_o,644.0,Music,1035.0,5.0
HneOYUXR9E0,732.0,Music,2523.0,5.0
MeLh5N2w3N8,673.0,Music,120.0,0.0
7-9d7002La4,620.0,Music,16108.0,4.92
Lg9n3DlsGvk,674.0,Music,2936.0,4.0
jO9oePcyBcg,671.0,Music,230.0,5.0
roUapRK7daU,576.0,Music,25651.0,4.79
JF-ASI9J4rQ,742.0,Music,647.0,5.0
M34-dD-_Jkw,735.0,Music,1157.0,5.0
rVYCaWD1xOg,608.0,Music,5515.0,4.71
IqbfKkjGaow,663.0,Music,1341.0,5.0
tz--J8jiWL4,662.0,Music,84273.0,4.59
fkijo2X-Py8,672.0,Music,488.0,0.0
AV6RjaZ96IM,645.0,Music,455.0,5.0
xPdK-CrW9t0,680.0,Music,199.0,0.0
YVY7pAHZ9uc,528.0,Music,9726.0,4.93
8Y6YYxuheGY,739.0,Music,314.0,3.0
Us-pVMLvL18,638.0,Music,371.0,0.0
wD7PpV94HVs,720.0,Music,609.0,5.0
R3b_YftDYv8,708.0,Music,114.0,5.0
NcoTVvFo-q0,734.0,Music,229.0,5.0
qdDBm4FtuZI,721.0,Music,276.0,5.0
aZbo8OppRb4,731.0,Music,120.0,5.0
nAi1o9fkGh4,721.0,Music,252.0,0.0
2NZt_HyhKgQ,735.0,Music,153.0,0.0
YWBsyX1cDo4,699.0,Comedy,269.0,0.0
ytscTofYUfo,724.0,Music,117.0,0.0
kptiBnpUFe0,735.0,Music,104.0,0.0
09fzx3Cdsuk,732.0,Music,2142.0,4.75
btlCCwjGnqY,474.0,Comedy,3516.0,3.52
